ANONYMIZED,Term,Sentence_A,Sentence_B,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,class,"As of 2016, vision processing units are emerging as a new class of processor, to complement CPUs and Graphics processing units (GPUs) in this role.",Medical conditions recognized in refugees are categorized as Class A or Class B and are described below.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:08:32 UTC
ANONYMIZED,matrix,(2007) constructed a connection matrix from fiber densities measured between homogeneously distributed and equal-sized regions of interest (ROIs) numbering between 500 and 4000.,Massachusetts Institute of Technology has developed a 10-minute Ebola test using Matrix Multiplexed Diagnostic (MMDx) technology.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:07:59 UTC
ANONYMIZED,location,"The conference is organised in cooperation with universities, each year in a different location.","The tissue elasticity at specified location can be estimated on the basis of spatial gradients within P(x,y,z).",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:08:56 UTC
ANONYMIZED,word,The algorithm improves upon earlier topic models such as latent Dirichlet allocation (LDA) by modeling correlations between topics in addition to the word correlations which constitute topics.,"The word coroner derives from the same source as the word crown, and denotes an officer of The Crown.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:08:07 UTC
ANONYMIZED,speech,"
== Open source acoustic models and speech corpus (compilation) ==
The following list presents notable speech recognition software engines with a brief synopsis of characteristics.",The operculum includes cortical regions concerned with the perception of spoken language and with motor functions required for competent speech.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:08:42 UTC
ANONYMIZED,matter,"""The ultimate display would, of course, be a room within which the computer can control the existence of matter.",Genetic relation to the child (in case of donation) does not matter.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:10:08 UTC
ANONYMIZED,government,Capstone is the name of a United States government long-term project to develop cryptography standards for public and government use.,"U.S. Congress, Office of Technology Assessment, Neurotoxicity: Identifying and Controlling Poisons of the Nervous System, OTA-BA-436 (Washington, DC: U.S. Government Printing Office, April 1990).",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:52 UTC
ANONYMIZED,house,"""Cozy Bear"" has in the past year infiltrated unclassified computer systems of the White House, the U.S. State Department, and the U.S. Joint Chiefs of Staff.",In 1969 the foundation attracted attention of the U.S. House Ways and Means Committee during hearings about the tax treatment of foundations with substantial financial links to corporations.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:08:45 UTC
ANONYMIZED,mouse,"It also allows a hook to insert, remove, process or modify keyboard and mouse events.","In early attempts to return some degree of control to these patients, researchers used cortical signals obtained with electroencephalography (EEG) to drive a mouse cursor.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:08:36 UTC
ANONYMIZED,success,"Post was searching for more than a definition: ""The success of the above program would, for us, change this hypothesis not so much to a definition or to an axiom but to a natural law.","Their steadfast dedication, invaluable expertise and guidance in strategic planning was critical to the organizationâ€™s success.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:09:58 UTC
ANONYMIZED,relation,Each relation can have a single clustered index and many unclustered indices.,"(February 1847), Memorial of Miss D. L. Dix in Relation to the Illinois Penitentiary, retrieved 12 November 2010 
.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:08:46 UTC
ANONYMIZED,transfer,Look-ahead pipelining will add canceling poles and zeroes to the transfer function such that the coefficients of the following terms in the denominator of the transfer function are zero.,In functional terms it is the spatial domain version of the transfer function of the imaging system.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:27 UTC
ANONYMIZED,matrix,"In the same paper he also presented an asymptotically fast algorithm to perform matrix inversion, based on the fast matrix multiplication algorithm.","The ologen collagen matrix facilitates tissue regeneration and its application over the site of device implantation can strengthen tissue recovery, reducing possibility of erosion.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:57 UTC
ANONYMIZED,class,"Indeed, regardless what semester Igor took the Networks class (no matter what was the unknown value of NULL), the selection condition will be true.",He helped lead the way in the discovery of a third class of mammalian photoreceptors by providing the first electrophysiological recordings from intrinsically photosensitive retinal ganglion cells.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:41 UTC
ANONYMIZED,strength,"tawkon uses an algorithm that takes into account network, signal strength, phone model, and other data, to predict this boost and alerts the user when there is a spike in RF output.","More unprotonated nicotine in tobacco smoke increases smoke ""strength"", ""impact"", or ""kick"".",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:10:13 UTC
ANONYMIZED,success,"So an application success might vary, depending on how it caters to individual cognitive style.","The presentation of symptoms is usually months or years and commonly patients consult different doctors, without great success, and doing various specialized investigations.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:30 UTC
